iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  8.204575e+01    0.00e+00    4.08e+02   0.00e+00   0.00e+00  1.00e+04        0    2.21e-02    2.78e-02
   1  8.139179e+01    6.54e-01    1.22e+02   0.00e+00   9.60e-01  3.00e+04        1    6.12e-03    3.43e-02
   2  8.133594e+01    5.58e-02    2.31e+02   2.34e+00   4.11e-01  2.98e+04        1    4.15e-03    3.85e-02
   3  8.122055e+01    1.15e-01    8.18e+01   2.34e+00   9.21e-01  7.37e+04        1    3.54e-03    4.21e-02
   4  8.117000e+01    5.05e-02    1.09e+02   5.53e+00   6.79e-01  7.73e+04        1    4.62e-03    4.68e-02
   5  8.109756e+01    7.24e-02    8.53e+01   5.48e+00   9.27e-01  2.05e+05        1    3.83e-03    5.07e-02
   6  8.105434e+01    4.32e-02    3.49e+02   1.15e+01   4.40e-01  2.04e+05        1    3.88e-03    5.47e-02
   7  8.095985e+01    9.45e-02    2.34e+02   9.41e+00   8.02e-01  2.62e+05        1    3.69e-03    5.84e-02
   8  8.090915e+01    5.07e-02    2.25e+02   9.18e+00   7.10e-01  2.83e+05        1    3.62e-03    6.21e-02
   9  8.086740e+01    4.17e-02    1.49e+02   7.39e+00   8.26e-01  3.92e+05        1    3.64e-03    6.58e-02
  10  8.084563e+01    2.18e-02    1.30e+02   6.73e+00   7.72e-01  4.67e+05        1    4.16e-03    7.01e-02
  11  8.083143e+01    1.42e-02    7.52e+01   4.91e+00   8.76e-01  8.15e+05        1    3.60e-03    7.37e-02
  12  8.082580e+01    5.63e-03    5.80e+01   3.79e+00   8.34e-01  1.16e+06        1    3.52e-03    7.73e-02
  13  8.082326e+01    2.53e-03    2.64e+01   1.76e+00   9.40e-01  3.48e+06        1    3.60e-03    8.10e-02
  14  8.082530e+01   -2.03e-03    2.64e+01   1.86e+00  -2.07e+00  1.74e+06        1    1.29e-03    8.23e-02
  15  8.082272e+01    5.48e-04    1.61e+01   7.89e-01   7.58e-01  2.02e+06        1    3.38e-03    8.58e-02
  16  8.082257e+01    1.48e-04    1.49e+01   1.30e+00   2.88e-01  1.87e+06        1    3.60e-03    8.95e-02
  17  8.082222e+01    3.49e-04    1.29e+01   1.40e+00   5.44e-01  1.87e+06        1    3.63e-03    9.32e-02
  18  8.082196e+01    2.61e-04    1.29e+01   1.48e+00   4.65e-01  1.87e+06        1    3.65e-03    9.69e-02
  19  8.082169e+01    2.67e-04    1.30e+01   1.51e+00   4.66e-01  1.87e+06        1    3.55e-03    1.01e-01
